"EducationSector","IndividualProject","Age","Gender","City","Influenced","Perseverance","DesireToTakeInitiative","Competitiveness","SelfReliance","StrongNeedToAchieve","SelfConfidence","GoodPhysicalHealth","MentalDisorder","KeyTraits","y"
"Engineering Sciences","No",19,"Male","Yes","No",2,2,3,3,2,2,3,"Yes","Passion","1"
"Engineering Sciences","Yes",19,"Male","Yes","Yes",2,3,3,3,4,3,2,"Yes","Vision","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",3,3,3,3,3,3,3,"No","Positivity","1"
"Engineering Sciences","Yes",19,"Male","Yes","Yes",3,2,3,3,4,1,1,"No","Work Ethic","1"
"Engineering Sciences","Yes",17,"Male","Yes","Yes",2,3,2,1,4,3,3,"Yes","Work Ethic","1"
"Economic Sciences, Business Studies, Commerce and Law","Yes",19,"Male","Yes","Yes",3,3,4,4,5,4,5,"No","Passion","1"
"Engineering Sciences","No",21,"Male","Yes","Yes",4,3,4,4,5,4,4,"No","Vision","1"
"Others","No",20,"Male","No","Yes",2,1,2,3,3,2,3,"No","Passion","1"
"Engineering Sciences","No",18,"Male","Yes","Yes",3,4,3,3,4,4,5,"No","Positivity","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",4,4,4,5,5,3,4,"No","Passion","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",2,3,3,2,3,2,3,"No","Vision","1"
"Economic Sciences, Business Studies, Commerce and Law","Yes",19,"Male","Yes","Yes",5,5,5,5,5,5,5,"No","Vision","1"
"Art, Music or Design","Yes",21,"Male","Yes","Yes",3,3,3,3,3,3,3,"No","Passion","1"
"Economic Sciences, Business Studies, Commerce and Law","No",23,"Female","Yes","Yes",2,3,3,3,3,3,3,"No","Work Ethic","1"
"Engineering Sciences","No",18,"Male","Yes","Yes",4,4,4,5,5,4,3,"No","Passion","1"
"Economic Sciences, Business Studies, Commerce and Law","Yes",17,"Male","Yes","Yes",3,5,2,4,5,3,5,"Yes","Work Ethic","1"
"Humanities and Social Sciences","No",19,"Male","Yes","Yes",4,4,4,4,4,4,4,"No","Vision","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",3,3,3,4,5,5,3,"No","Positivity","1"
"Economic Sciences, Business Studies, Commerce and Law","No",23,"Male","No","Yes",5,4,4,3,5,4,4,"No","Passion","1"
"Engineering Sciences","No",18,"Male","No","Yes",3,4,2,3,3,4,4,"No","Positivity","1"
"Engineering Sciences","Yes",26,"Male","No","Yes",2,3,2,3,3,2,3,"Yes","Vision","1"
"Engineering Sciences","No",20,"Female","Yes","Yes",5,4,5,5,5,4,5,"No","Positivity","1"
"Engineering Sciences","Yes",21,"Male","Yes","No",4,4,5,5,4,4,3,"No","Positivity","1"
"Medicine, Health Sciences","Yes",19,"Female","Yes","Yes",1,1,1,1,1,1,1,"No","Positivity","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",2,2,2,3,3,3,2,"No","Vision","1"
"Engineering Sciences","Yes",20,"Female","Yes","Yes",5,5,5,4,5,4,4,"No","Positivity","1"
"Engineering Sciences","Yes",21,"Male","Yes","Yes",4,5,5,5,4,5,5,"No","Work Ethic","1"
"Engineering Sciences","Yes",19,"Male","Yes","Yes",4,4,5,5,5,5,5,"Yes","Passion","1"
